gender,province,education,income_family,n
Female,Quebec,Below high school,"$25,000 to $49,999",125
Female,Quebec,Below high school,"$50,000 to $74,999",59
Female,Quebec,Below high school,"$75,000 to $99,999",25
Female,Quebec,Below high school,"Less than $25,000",141
Female,Quebec,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",33
Female,Quebec,High school diploma or a high school equivalency certificate,"$125,000 and more",50
Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",127
Female,Quebec,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",84
Female,Quebec,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",41
Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",87
Female,Quebec,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",59
Female,Quebec,"Technical, community college, CEGEP, College Classique","$125,000 and more",88
Female,Quebec,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",164
Female,Quebec,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",128
Female,Quebec,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",111
Female,Quebec,"Technical, community college, CEGEP, College Classique","Less than $25,000",85
Female,Saskatchewan,Above bachelor,"$100,000 to $ 124,999",5
Female,Saskatchewan,Above bachelor,"$125,000 and more",7
Female,Saskatchewan,Above bachelor,"$25,000 to $49,999",6
Female,Saskatchewan,Above bachelor,"$50,000 to $74,999",3
Female,Saskatchewan,Above bachelor,"$75,000 to $99,999",2
Female,Saskatchewan,Above bachelor,"Less than $25,000",1
Female,Saskatchewan,Bachelor's degree,"$100,000 to $ 124,999",11
Female,Saskatchewan,Bachelor's degree,"$125,000 and more",34
Female,Saskatchewan,Bachelor's degree,"$25,000 to $49,999",12
Female,Saskatchewan,Bachelor's degree,"$50,000 to $74,999",19
Female,Saskatchewan,Bachelor's degree,"$75,000 to $99,999",20
Female,Saskatchewan,Bachelor's degree,"Less than $25,000",3
Female,Saskatchewan,Below bachelor,"$100,000 to $ 124,999",3
Female,Saskatchewan,Below bachelor,"$125,000 and more",9
Female,Saskatchewan,Below bachelor,"$25,000 to $49,999",4
Female,Saskatchewan,Below bachelor,"$50,000 to $74,999",8
Female,Saskatchewan,Below bachelor,"$75,000 to $99,999",6
Female,Saskatchewan,Below bachelor,"Less than $25,000",2
Female,Saskatchewan,Below high school,"$100,000 to $ 124,999",2
Female,Saskatchewan,Below high school,"$125,000 and more",6
Female,Saskatchewan,Below high school,"$25,000 to $49,999",27
Female,Saskatchewan,Below high school,"$50,000 to $74,999",14
Female,Saskatchewan,Below high school,"$75,000 to $99,999",9
Female,Saskatchewan,Below high school,"Less than $25,000",33
Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",9
Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$125,000 and more",24
Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",45
Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",21
Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",20
Female,Saskatchewan,High school diploma or a high school equivalency certificate,"Less than $25,000",26
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",21
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$125,000 and more",38
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",51
